scene	start	end	frames	duration	tl_frame	inner_cut_rel	cut_on_boundary	lyrics_asr	title	lyrics_screenplay	framing	continuity	inner_cuts	screenplay
20	70.417	76.292	141	5.8750	1814	0.000	no	Federn, wie den Goldmann sie nennen / Ich denk mich zu, mit ihren Daunen	Federphibien soll man sie nennen.	Federphibien soll man sie nennen. Nachkömmlinge von Frosch und Hennen / Huhn + Frosch = Federphibium				Cut auf den Notizblock des Mannes der über die Seite streicht. Auf dem Block ist eine Zeichnung von Huhn und Frosch in typsicher wissenschaftlicher Zeichnung aus dem 19/20 Jahrhundert, sowie die Notiz
21	76.250	81.417	124	5.1667	1954	0.000	no	Ich denk mich zu, mit ihren Daunen	Bridge. Cut auf den rennenden		front on, eye level, worm's eye, at ground level			Bridge. Cut auf den rennenden Frosch. Hüpft nun vom Rasen auf den Sand/Schotter. Und kommt schlitternd zum stehen. Er dreht sich zur Seite. Im Hintergrund ist nun der Hühnerstall frontal und verschwommen zu sehen. Frog-Perspektive
22	78.625	83.792	124	5.1667	2011	0.000	no	Ich denk mich zu, mit ihren Daunen / Ich heiz sie aus, ihre verrückten Launen	Kamera-View von der Seite. Der		profile, side on			Kamera-View von der Seite. Der Frosch rennt die Hühnerleiter hoch und verschwindet im Loch
23	81.667	86.833	124	5.1667	2084	0.000	no	Ich denk mich zu, mit ihren Daunen / Ich heiz sie aus, ihre verrückten Launen / Sie dreht den Kopf, sie schaut mich an	Ich deck mich zu mit	Ich deck mich zu mit ihren Daunen	from behind, worm's eye, at ground level			Im Hühnerstall. Der Frosch hüpft und landet in einem Berg aus Daunen und Federn. Cut. Kamera hinter dem Frosch. Frog-Perspective. Vor ihm steht das Huhn und baut sich bedrohlich auf
24	84.167	89.333	124	5.1667	2144	0.000	no	Ich heiz sie aus, ihre verrückten Launen / Sie dreht den Kopf, sie schaut mich an / Ich heiz nicht aus, ich heiz nicht aus, nimm mich zum Mann	Ich halt sie aus, ihre	Ich halt sie aus, ihre verrückten Launen / auf die Kameralinse	from behind	hold		First Frame<>Last Frame Das Huhn holt Luft und brüllt den Frosch an. Wir sehen ihn von hinten im Federberg sitzen. Federn fliegen weg. Eine Feder fliegt und verdeckt sie. Cut
25	87.083	92.250	124	5.1667	2214	0.000	no	Sie dreht den Kopf, sie schaut mich an / Ich heiz nicht aus, ich heiz nicht aus, nimm mich zum Mann	Sie dreht den Kopf …	Sie dreht den Kopf …	close-up, worm's eye, at ground level, from behind, profile, side on			Closeup. Frog-Perspective. Hinter dem Frosch. Frosch sitzt noch im Federberg. Man sieht nur den unteren Teil des Hünerkörpers. So groß ragt das Huhn über dem Frosch auf. Das Huhn senkt den Kopf und kommt so ins Bild. Wir sehen den Hühnerkopf der sich nun seitlich dreht, damit das Huhn den Frosch direkt fokussieren und ins Auge fassen kann
26	88.333	93.500	124	5.1667	2244	0.000	no	Sie dreht den Kopf, sie schaut mich an / Ich heiz nicht aus, ich heiz nicht aus, nimm mich zum Mann / Ihr Gang erinnert an Uhrzeit, der Gang erinnert an Uhrzeitechst	... sie schaut mich an.	... sie schaut mich an. Ich halt’s nicht aus. / Hosentasche	from behind			Im Comicstyle von hinten sieht man wie sich der Frosch erschreckt/erstaunt.. Man sieht, wie der eine Frosch-Arm nach hinten geht und in einer wühlt. Also künstlerisch, als würde er was von hinten rauskramen
27	91.042	96.208	124	5.1667	2309	0.000	no	Ich heiz nicht aus, ich heiz nicht aus, nimm mich zum Mann / Ihr Gang erinnert an Uhrzeit, der Gang erinnert an Uhrzeitechst	Nimm mich zum Mann	Nimm mich zum Mann	close-up, profile, side on			Closeup. Seitlich. Man sieht nur den Hühnerstall-Wandhintergrund verschwommen und ins Bild kommen die Hände des Frosches die einen kleinen Kasten aus Sehrosenblättern aufmachen. Darin sieht man einen glänzenden, goldenen Ring rausragen
28	93.333	98.500	124	5.1667	2364	0.000	no	Ihr Gang erinnert an Uhrzeit, der Gang erinnert an Uhrzeitechst	Bridge. Fokus auf das Huhn.					Bridge. Fokus auf das Huhn. Es pickt den Ring auf. Cut. Der Kopf geht wieder hoch und das Huhn verschluckt den Ring
29	94.583	99.750	124	5.1667	2394	0.000	no	Ihr Gang erinnert an Uhrzeit, der Gang erinnert an Uhrzeitechst / Das macht mich rollig, ich will sie sexen	Seitliche Ansicht erneut. Frosch im		profile, side on	chain		Seitliche Ansicht erneut. Frosch im Federhaufen. Man sieht verschwommen im Vordergrund, wie das Huhn einfach am Frosch vorbei geht. Man sieht also nur in groß und verschwommen die Füße vorbeilaufen. Der Frosch schaut wie erstarrt immernoch ins Leere vor sich
30	95.833	101.000	124	5.1667	2424	0.000	no	Ihr Gang erinnert an Uhrzeit, der Gang erinnert an Uhrzeitechst / Das macht mich rollig, ich will sie sexen	Ihr Gang erinnert an Urzeit-Echsen	Ihr Gang erinnert an Urzeit-Echsen	front on, eye level, focus rack			Ansicht von vorne. Der Frosch dreht sich um. Im Hintergrund geht das Huhn Richtung Ausgang. Der Hintern des Huhns wippt leicht nach links und rechts. Während der Frosch sich umdreht, wird der Fokus auf das Huhn, also den Hintergrund gelegt und die Tiefenschärfe passt sich an
31	100.000	105.167	124	5.1667	2524	0.000	no	Das macht mich rollig, ich will sie sexen / Die linke Körner, sie kommt näher und muss ich spüren	First Frame<>Last Frame Der Fokus		focus rack	hold,chain		First Frame<>Last Frame Der Fokus wechselt wieder langsam auf den Frosch. Cartoon-Herzen steigen über dem Kopf auf
32	102.083	107.250	124	5.1667	2574	0.000	no	Das macht mich rollig, ich will sie sexen / Die linke Körner, sie kommt näher und muss ich spüren	Das macht mich rollig, ich	Das macht mich rollig, ich will sie sexen	over the shoulder, close-up, worm's eye, at ground level, medium wide, wide			Over-Shoulder beim Frosch. Großaufnahme. Er blickt nach unten und sieht auf dem Boden vor sich Körner. Er nimmt sie. Cut. Halbtotale. Er wirft die Körner hoch. Cut. Closeup auf die fallenden Körner
33	105.000	110.167	124	5.1667	2644	0.000	no	Die linke Körner, sie kommt näher und muss ich spüren	Ich leg mir Körner auf	Ich leg mir Körner auf den Rücken	extreme close-up, close-up, focus rack			Die Körner landen auf der glitschigen Haut. Dir sehen einen super Closeup wie die Körner auf der Haut landen. Im Hintergrund sehen wir wieder das Huhn, wie es zur Tür läuft, sich aber in dem Moment, wo die Körner auf der Haut landen, plötzlich stehen bleibt und den Kopf umdreht. Gleichzeitig wird auch der Fokus schnell auf das Huhn gelegt. Die Tiefenschärfe passt sich an
34	110.000	115.167	124	5.1667	2764	0.000	no	Die linke Körner, sie kommt näher und muss ich spüren / Den Blick beklärt, wenn ich verkleise, jede Berührung schickt mich auf eine Reise	Sie kommt näher, muss sich	Sie kommt näher, muss sich bücken.	profile, side on, zoom out, zoom in			Wir haben den Blick von der Seite. Wir sehen etwas rausgezoomt den Frosch wieder vor dem Federberg sitzen. Den Kopf gebeugt. Körner auf dem Kopf/Nacken/Rücken. Das Huhn kommt ins Bild und neigt den Kopf herunter zu dem Frosch. Es begutachtet die Körner
35	112.917	118.083	124	5.1667	2834	0.000	no	Den Blick beklärt, wenn ich verkleise, jede Berührung schickt mich auf eine Reise / Wasch und tut, wie ungewöhnlich	Sie pickt zärtlich, ich quak	Sie pickt zärtlich, ich quak leise		hold,chain		First Frame <> Last Frame Gleiche Einstellung. Das Huhn fängt an zu picken. Nur einmal. Bei der Berührung quakt der Frosch und fängt an zu schwitzen
36	115.417	120.583	124	5.1667	2894	0.000	no	Den Blick beklärt, wenn ich verkleise, jede Berührung schickt mich auf eine Reise / Wasch und tut, wie ungewöhnlich	Jede Berührung schickt mich auf	Jede Berührung schickt mich auf eine Reise				Das Huhn pickt nochmal. Der Hintergrund verschwimmt ins Schwarze und die Zeit verlangsamt sich, während nur noch das Huhn und der Frosch zu sehen sind. Während das Huhn nochmal zum Picken ansetzt, schaut der Frosch hoch. Die Blicke treffen sich
37	118.958	124.833	141	5.8750	2979	0.000	no	Wasch und tut, wie ungewöhnlich / Vogel und Tampi und Tampi und Tampi und Tampi und Tampi	Frosch und Huhn wie ungewöhnlich.	Frosch und Huhn wie ungewöhnlich.	close-up, zoom in			In wechselnden Cuts sieht man mal das Huhn und mal den Frosch in Closeups. Ggf. leichter Zoom, um die intensiver werdenden Blicke zu verdeutlichen. Dann kommt die Erkenntnis beim Huhn. Die Pupillen verengen sich plötzlich
38	124.583	129.750	124	5.1667	3114	0.000	no	Vogel und Tampi und Tampi und Tampi und Tampi und Tampi / Ich stell dir unsere Kinder vor	Vogel und Amphibium	Vogel und Amphibium	wide			Totale. Das Huhn dreht sich um und deutet auf ihren Rücken. Der Frosch hüpft auf den Rücken des Huhns
39	127.292	132.458	124	5.1667	3179	0.000	no	Vogel und Tampi und Tampi und Tampi und Tampi und Tampi / Ich stell dir unsere Kinder vor	die finden si…	die finden si…	from behind, zoom in			Man sieht das Huhn von hinten, wie es mit dem Frosch auf dem Rücken auf den Ausgang zurennt. Dramatischer Zoom während die Kameraeinstellung gleich bleibt und dem Huhn von hinten folgt
40	128.958	134.125	124	5.1667	3219	0.000	no	Ich stell dir unsere Kinder vor	siiiiiihiiiisch	siiiiiihiiiisch	profile, side on, wide, worm's eye, at ground level			Außerhalb des Hühnerstalls. Seitliche Totale. Mit einsetzender Zeitlupe springt das Huhn mit dem Frosch auf dem Rücken aus dem Hühnerstall. Herzen umschwirren die beiden. Drama, Zeitlupe, Inszenierung! Der Frosch hat es geschafft! Auf Frame 3130 landen die Beiden auf dem Boden und das Huhn rennt weiter, mit dem Frosch auf dem Rücken
41	130.417	136.292	141	5.8750	3254	0.000	no	Ich stell dir unsere Kinder vor / Schleimtige Federn, große Augen	Stell dir uns’re Kinder vooooor	Stell dir uns’re Kinder vooooor	close-up, front on, eye level			Closeup von vorne und dem Oberkörper des Huhns. Man sieht auch den Frosch. Beide schauen sich verliebt an während das Huhn weiter rennt und der Hintergrund mit Staub und allem nur so dahin fliegt
42	135.625	142.208	158	6.5833	3379	0.000	no	Schleimtige Federn, große Augen / Geht weg zum Fliegen oder Schwimmenshaufen	Schleimige Federn große Augen	Schleimige Federn große Augen	close-up			Close up auf den Frosch, der zärtlich das Federkleid streichelt und eine leichte Schleimspur hinterlässt. Er schließt die Augen und lehnt sich an den Hühnerhals
43	141.667	146.833	124	5.1667	3524	0.000	no	Geht weg zum Fliegen oder Schwimmenshaufen / Federn, wie den Goldmann sie nennen	Die nicht zum fliegen oder	Die nicht zum fliegen oder schwimmen taugen	zoom in, zoom out, from behind, focus rack			Zoom out wieder hin zu dem Wissenschaftler, der am Teich sitzt und zeichnet. Man sieht ihn wieder nur von hinten. Huhn und Frosch rennen weiter und verschwimmen durch die Tiefenschärfe als der Fokus auf den Forscher geht. Dieser springt auf und hält sich am Stuhl fest
44	144.792	149.958	124	5.1667	3599	0.000	no	Federn, wie den Goldmann sie nennen / Nach Kömmlingen von Frosch und Birnen	Federphibien soll man sie nennen	Federphibien soll man sie nennen	from behind			Er nimmt die Kamera und fängt an Fotos zu machen. Man sieht ihn nach wie vor nur von hinten, wie er hektisch fotografiert und durch den Sucher der DSLR schaut
45	148.125	159.667	277	11.5417	3679	7.955	yes	Nach Kömmlingen von Frosch und Birnen / Kömmlingen von Frosch und Birnen / Nach Kömmlingen von Frosch und Birnen	Nachkömmlinge von Frosch und Hennen	Nachkömmlinge von Frosch und Hennen			7.955	Huhn mit Frosch auf dem Rücken rennen weiter. Mehrere Cuts. Mehrere Einstellungen. Mal ein Hüpfer über eine Pfütze. Mal der Frosch, der eine Fliege aus der Luft schnappt
46	159.083	164.250	124	5.1667	3942	0.000	no	Nach Kömmlingen von Frosch und Birnen / Nach Kömmlingen von Frosch und Birnen / Nach Kömmlingen von Frosch und Birnen	Ansicht von hinten. Die beiden		from behind			Ansicht von hinten. Die beiden rennen einen leichten Hügel hinauf. Sie rennen dem Sonnenuntergang entgegen und man sieht nur noch ihre Silhouetten
47	166.250	171.417	124	5.1667	4114	0.000	no		First Frame<>Last Frame Das Huhn		held freeze frame	hold		First Frame<>Last Frame Das Huhn hüpft, auch der Frosch hebt sich ab und es gibt ein Standbild. Typisch von einigen Cartoons am Ende. Die Blende schließt sich. (via Effekt von Davinci Resolve)
